Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotien
Aerospace Engineers (17-2011),210,22,$79.06 ,"$164,450 ",2.7,$47.52 ,$61.92 ,$76.92 ,$97.35 ,$114.76 ,"$98,840 ","$128,800 ","$160,000 ","$202,490 ","$238,710 ",0.089,0.2
Bioengineers and Biomedical Engineers (17-2031),620,14.1,$66.80 ,"$138,950 ",2.5,$48.14 ,$54.60 ,$65.73 ,$77.81 ,$86.40 ,"$100,130 ","$113,570 ","$136,720 ","$161,830 ","$179,710 ",0.259,1.83
Chemical Engineers (17-2041),370,17.2,,,,,,,,,,,,,,0.152,1.16
Civil Engineers (17-2051),"9,920",5.2,$64.89 ,"$134,970 ",1.4,$41.33 ,$48.46 ,$60.85 ,$77.79 ,$95.68 ,"$85,960 ","$100,790 ","$126,560 ","$161,790 ","$199,010 ",4.122,1.79
Computer and Information Systems Managers (11-3021),"26,640",2.3,$114.45 ,"$238,050 ",0.9,$72.29 ,$87.89 ,$106.64 ,,,"$150,370 ","$182,810 ","$221,810 ",,,11.074,2.64
Computer Hardware Engineers (17-2061),"5,090",4.8,$88.98 ,"$185,080 ",1.6,$63.44 ,$70.93 ,$83.14 ,$102.04 ,,"$131,950 ","$147,540 ","$172,920 ","$212,230 ",,2.117,4.31
Electrical Engineers (17-2071),"2,860",5.2,$77.50 ,"$161,200 ",1.5,$46.85 ,$60.73 ,$78.77 ,$92.16 ,$103.70 ,"$97,450 ","$126,320 ","$163,840 ","$191,700 ","$215,690 ",1.189,0.97
"Engineers, All Other (17-2199)","5,060",6.9,$80.24 ,"$166,900 ",2,$46.02 ,$55.76 ,$75.07 ,$102.58 ,,"$95,710 ","$115,970 ","$156,140 ","$213,370 ",,2.102,2.15
Environmental Engineers (17-2081),580,15.1,$68.46 ,"$142,400 ",2.7,$42.88 ,$54.12 ,$68.27 ,$80.45 ,$98.06 ,"$89,180 ","$112,570 ","$142,000 ","$167,340 ","$203,960 ",0.24,0.98
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)",570,15.1,$62.51 ,"$130,020 ",6.2,$27.59 ,$49.17 ,$61.86 ,$79.84 ,$95.46 ,"$57,380 ","$102,270 ","$128,670 ","$166,060 ","$198,560 ",0.236,1.57
Industrial Engineers (17-2112),"4,630",4.9,$67.54 ,"$140,470 ",1.3,$41.27 ,$52.41 ,$64.32 ,$79.25 ,$97.53 ,"$85,840 ","$109,020 ","$133,790 ","$164,840 ","$202,860 ",1.925,0.85
Marine Engineers and Naval Architects (17-2121),50,15.5,$65.17 ,"$135,550 ",7.9,$34.96 ,$58.41 ,$71.47 ,$71.47 ,$80.45 ,"$72,730 ","$121,490 ","$148,650 ","$148,650 ","$167,340 ",0.023,0.42
Materials Engineers (17-2131),420,12.8,$66.57 ,"$138,470 ",2.3,$44.71 ,$51.00 ,$64.69 ,$82.58 ,$88.54 ,"$92,990 ","$106,080 ","$134,560 ","$171,770 ","$184,150 ",0.176,1.19
Mechanical Engineers (17-2141),"4,670",7.7,$72.55 ,"$150,900 ",1.8,$46.67 ,$58.42 ,$70.02 ,$85.31 ,$99.81 ,"$97,070 ","$121,510 ","$145,640 ","$177,430 ","$207,610 ",1.94,1.04
"Mining and Geological Engineers, Including Mining Safety Engineers (17-2151)",50,18.1,$71.53 ,"$148,790 ",5.7,$42.00 ,$57.31 ,$78.60 ,$82.40 ,$97.20 ,"$87,350 ","$119,200 ","$163,490 ","$171,390 ","$202,170 ",0.021,0.47
Petroleum Engineers (17-2171),280,45,$70.10 ,"$145,810 ",21.1,$46.93 ,$46.93 ,$46.93 ,$97.75 ,,"$97,600 ","$97,600 ","$97,610 ","$203,320 ",,0.115,0.94
Ship Engineers (53-5031),130,12.9,$67.40 ,"$140,190 ",4.5,$42.26 ,$46.18 ,$69.04 ,$80.26 ,$96.32 ,"$87,900 ","$96,060 ","$143,600 ","$166,940 ","$200,350 ",0.054,0.96
Software Developers (15-1252),"76,900",2,$90.31 ,"$187,840 ",1.4,$61.61 ,$76.95 ,$84.09 ,$102.61 ,,"$128,140 ","$160,060 ","$174,910 ","$213,420 ",,31.964,2.98
