Occupation,SOC code,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Aerospace Engineers,17-2011,840,7.8,$79.11 ,"$164,540 ",1.5,$52.04 ,$62.73 ,$80.45 ,$92.25 ,$105.96 ,"$108,240 ","$130,480 ","$167,340 ","$191,880 ","$220,390 ",0.736,1.66
Bioengineers and Biomedical Engineers,17-2031,270,23.5,$70.35 ,"$146,330 ",3.3,$49.20 ,$53.21 ,$67.06 ,$80.98 ,$98.64 ,"$102,340 ","$110,680 ","$139,490 ","$168,440 ","$205,160 ",0.242,1.7
Chemical Engineers,17-2041,80,37.6,$72.76 ,"$151,340 ",24.3,$43.03 ,$49.57 ,$65.20 ,$76.12 ,(5) -,"$89,500 ","$103,100 ","$135,610 ","$158,320 ",(5) -,0.068,0.51
Civil Engineers,17-2051,"3,180",9.9,$66.36 ,"$138,030 ",1.9,$40.20 ,$49.36 ,$62.14 ,$79.98 ,$95.94 ,"$83,620 ","$102,660 ","$129,260 ","$166,360 ","$199,560 ",2.8,1.21
Computer Hardware Engineers,17-2061,"9,320",3.1,$97.79 ,"$203,400 ",1.6,$67.08 ,$82.83 ,$94.76 ,$107.95 ,(5) -,"$139,520 ","$172,280 ","$197,090 ","$224,530 ",(5) -,8.213,16.73
Electrical Engineers,17-2071,"4,750",5.2,$90.89 ,"$189,040 ",1.2,$55.19 ,$76.23 ,$89.87 ,$107.25 ,(5) -,"$114,800 ","$158,560 ","$186,920 ","$223,080 ",(5) -,4.187,3.42
Environmental Engineers,17-2081,180,11.1,$63.92 ,"$132,950 ",3.1,$41.57 ,$46.51 ,$62.63 ,$79.46 ,$91.48 ,"$86,460 ","$96,750 ","$130,260 ","$165,270 ","$190,280 ",0.154,0.63
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,180,11,$71.24 ,"$148,170 ",4.6,$45.42 ,$52.27 ,$63.53 ,$80.80 ,$109.77 ,"$94,470 ","$108,710 ","$132,140 ","$168,070 ","$228,330 ",0.155,1.03
Industrial Engineers,17-2112,"3,850",3.9,$69.93 ,"$145,460 ",1.4,$42.64 ,$52.57 ,$65.53 ,$81.59 ,$101.00 ,"$88,680 ","$109,350 ","$136,290 ","$169,700 ","$210,070 ",3.395,1.49
Materials Engineers,17-2131,480,13.3,$74.75 ,"$155,490 ",1.7,$48.75 ,$63.42 ,$72.72 ,$93.60 ,$103.47 ,"$101,410 ","$131,910 ","$151,260 ","$194,700 ","$215,220 ",0.422,2.86
Mechanical Engineers,17-2141,"3,910",5.5,$76.57 ,"$159,270 ",3.1,$48.34 ,$57.90 ,$71.02 ,$86.48 ,$107.99 ,"$100,540 ","$120,430 ","$147,730 ","$179,870 ","$224,620 ",3.45,1.86
Software Developers,15-1252,"90,280",1.4,$108.90 ,"$226,510 ",1.7,$64.82 ,$82.51 ,$100.13 ,$107.00 ,(5) -,"$134,830 ","$171,610 ","$208,270 ","$222,550 ",(5) -,79.565,7.42

